modelo,fpr,tpr
SNA - Regresión Logística,0.013896336014298481,0.07352941176470588
SNA - Regresión Logística,0.013896336014298481,0.0739268680445151
SNA - Regresión Logística,0.014030384271671135,0.0739268680445151
SNA - Regresión Logística,0.014030384271671135,0.07511923688394277
SNA - Regresión Logística,0.014164432529043789,0.07511923688394277
SNA - Regresión Logística,0.014164432529043789,0.075516693163752
SNA - Regresión Logística,0.014209115281501341,0.075516693163752
SNA - Regresión Logística,0.014209115281501341,0.0759141494435612
SNA - Regresión Logística,0.014298480786416443,0.0759141494435612
SNA - Regresión Logística,0.014298480786416443,0.07631160572337042
SNA - Regresión Logística,0.014477211796246649,0.07631160572337042
SNA - Regresión Logística,0.014477211796246649,0.07710651828298887
SNA - Regresión Logística,0.014700625558534406,0.07710651828298887
SNA - Regresión Logística,0.014700625558534406,0.07750397456279809
SNA - Regresión Logística,0.01483467381590706,0.07750397456279809
SNA - Regresión Logística,0.01483467381590706,0.07790143084260731
SNA - Regresión Logística,0.014968722073279714,0.07790143084260731
SNA - Regresión Logística,0.014968722073279714,0.07829888712241653
SNA - Regresión Logística,0.015058087578194816,0.07829888712241653
SNA - Regresión Logística,0.015058087578194816,0.07869634340222575
SNA - Regresión Logística,0.01519213583556747,0.07869634340222575
SNA - Regresión Logística,0.015504915102770331,0.07869634340222575
SNA - Regresión Logística,0.016041108132260947,0.07869634340222575
SNA - Regresión Logística,0.016041108132260947,0.07909379968203498
SNA - Regresión Logística,0.0160857908847185,0.07909379968203498
SNA - Regresión Logística,0.01644325290437891,0.07909379968203498
SNA - Regresión Logística,0.01653261840929401,0.07909379968203498
SNA - Regresión Logística,0.016621983914209115,0.07909379968203498
SNA - Regresión Logística,0.017247542448614834,0.07909379968203498
SNA - Regresión Logística,0.017247542448614834,0.0794912559618442
SNA - Regresión Logística,0.017292225201072386,0.0794912559618442
SNA - Regresión Logística,0.017470956210902593,0.0794912559618442
SNA - Regresión Logística,0.01751563896336014,0.0794912559618442
SNA - Regresión Logística,0.01751563896336014,0.07988871224165342
SNA - Regresión Logística,0.017649687220732797,0.07988871224165342
SNA - Regresión Logística,0.01769436997319035,0.07988871224165342
SNA - Regresión Logística,0.01769436997319035,0.08028616852146264
SNA - Regresión Logística,0.017873100983020553,0.08028616852146264
SNA - Regresión Logística,0.017873100983020553,0.08068362480127186
SNA - Regresión Logística,0.017962466487935657,0.08068362480127186
SNA - Regresión Logística,0.017962466487935657,0.08108108108108109
SNA - Regresión Logística,0.01805183199285076,0.08108108108108109
SNA - Regresión Logística,0.01836461126005362,0.08108108108108109
SNA - Regresión Logística,0.018498659517426273,0.08108108108108109
SNA - Regresión Logística,0.018498659517426273,0.08147853736089031
SNA - Regresión Logística,0.018722073279714032,0.08147853736089031
SNA - Regresión Logística,0.018722073279714032,0.08187599364069953
SNA - Regresión Logística,0.01876675603217158,0.08187599364069953
SNA - Regresión Logística,0.01876675603217158,0.08267090620031796
SNA - Regresión Logística,0.018900804289544236,0.08267090620031796
SNA - Regresión Logística,0.018900804289544236,0.08306836248012718
SNA - Regresión Logística,0.018945487042001788,0.08306836248012718
SNA - Regresión Logística,0.018945487042001788,0.08386327503974562
SNA - Regresión Logística,0.019481680071492403,0.08386327503974562
SNA - Regresión Logística,0.019481680071492403,0.08426073131955485
SNA - Regresión Logística,0.019571045576407507,0.08426073131955485
SNA - Regresión Logística,0.019571045576407507,0.08545310015898251
SNA - Regresión Logística,0.01992850759606792,0.08545310015898251
SNA - Regresión Logística,0.01992850759606792,0.08585055643879173
SNA - Regresión Logística,0.02006255585344057,0.08585055643879173
SNA - Regresión Logística,0.02006255585344057,0.08664546899841018
SNA - Regresión Logística,0.02028596961572833,0.08664546899841018
SNA - Regresión Logística,0.02028596961572833,0.0870429252782194
SNA - Regresión Logística,0.020420017873100983,0.0870429252782194
SNA - Regresión Logística,0.020420017873100983,0.08744038155802862
SNA - Regresión Logística,0.020464700625558534,0.08744038155802862
SNA - Regresión Logística,0.020464700625558534,0.08783783783783784
SNA - Regresión Logística,0.020509383378016086,0.08783783783783784
SNA - Regresión Logística,0.020509383378016086,0.08823529411764706
SNA - Regresión Logística,0.02100089365504915,0.08823529411764706
SNA - Regresión Logística,0.02100089365504915,0.08863275039745629
SNA - Regresión Logística,0.021179624664879357,0.08863275039745629
SNA - Regresión Logística,0.021179624664879357,0.08942766295707472
SNA - Regresión Logística,0.02135835567470956,0.08942766295707472
SNA - Regresión Logística,0.02135835567470956,0.09062003179650238
SNA - Regresión Logística,0.021403038427167113,0.09062003179650238
SNA - Regresión Logística,0.021403038427167113,0.09141494435612083
SNA - Regresión Logística,0.021447721179624665,0.09141494435612083
SNA - Regresión Logística,0.021447721179624665,0.09181240063593005
SNA - Regresión Logística,0.022028596961572833,0.09181240063593005
SNA - Regresión Logística,0.022028596961572833,0.09220985691573927
SNA - Regresión Logística,0.022207327971403037,0.09220985691573927
SNA - Regresión Logística,0.022207327971403037,0.09260731319554849
SNA - Regresión Logística,0.02225201072386059,0.09260731319554849
SNA - Regresión Logística,0.02225201072386059,0.09300476947535771
SNA - Regresión Logística,0.02229669347631814,0.09300476947535771
SNA - Regresión Logística,0.02229669347631814,0.09340222575516693
SNA - Regresión Logística,0.022430741733690796,0.09340222575516693
SNA - Regresión Logística,0.022520107238605896,0.09340222575516693
SNA - Regresión Logística,0.022520107238605896,0.09379968203497616
