modelo,precision,recall
SNA - Regresión Logística,0.10132069356668287,0.9940381558028617
SNA - Regresión Logística,0.10132479844427339,0.9940381558028617
SNA - Regresión Logística,0.10132890365448505,0.9940381558028617
SNA - Regresión Logística,0.1013330091973583,0.9940381558028617
SNA - Regresión Logística,0.10133711507293355,0.9940381558028617
SNA - Regresión Logística,0.10134122128125127,0.9940381558028617
SNA - Regresión Logística,0.1013453278223519,0.9940381558028617
SNA - Regresión Logística,0.10134943469627589,0.9940381558028617
SNA - Regresión Logística,0.10135354190306371,0.9940381558028617
SNA - Regresión Logística,0.10135764944275583,0.9940381558028617
SNA - Regresión Logística,0.10136175731539272,0.9940381558028617
SNA - Regresión Logística,0.10136586552101487,0.9940381558028617
SNA - Regresión Logística,0.10136997405966278,0.9940381558028617
SNA - Regresión Logística,0.10137408293137692,0.9940381558028617
SNA - Regresión Logística,0.10137819213619781,0.9940381558028617
SNA - Regresión Logística,0.10138230167416595,0.9940381558028617
SNA - Regresión Logística,0.10138641154532188,0.9940381558028617
SNA - Regresión Logística,0.10139052174970609,0.9940381558028617
SNA - Regresión Logística,0.10139463228735912,0.9940381558028617
SNA - Regresión Logística,0.10139874315832151,0.9940381558028617
SNA - Regresión Logística,0.1014028543626338,0.9940381558028617
SNA - Regresión Logística,0.10140696590033654,0.9940381558028617
SNA - Regresión Logística,0.10141107777147028,0.9940381558028617
SNA - Regresión Logística,0.10141518997607558,0.9940381558028617
SNA - Regresión Logística,0.10141930251419302,0.9940381558028617
SNA - Regresión Logística,0.10142341538586318,0.9940381558028617
SNA - Regresión Logística,0.10142752859112661,0.9940381558028617
SNA - Regresión Logística,0.10143164213002392,0.9940381558028617
SNA - Regresión Logística,0.10143575600259572,0.9940381558028617
SNA - Regresión Logística,0.10143987020888258,0.9940381558028617
SNA - Regresión Logística,0.10144398474892512,0.9940381558028617
SNA - Regresión Logística,0.10144809962276397,0.9940381558028617
SNA - Regresión Logística,0.10145221483043972,0.9940381558028617
SNA - Regresión Logística,0.10145633037199302,0.9940381558028617
SNA - Regresión Logística,0.1014604462474645,0.9940381558028617
SNA - Regresión Logística,0.10146456245689481,0.9940381558028617
SNA - Regresión Logística,0.10146867900032457,0.9940381558028617
SNA - Regresión Logística,0.10147279587779445,0.9940381558028617
SNA - Regresión Logística,0.10147691308934513,0.9940381558028617
SNA - Regresión Logística,0.10148103063501725,0.9940381558028617
